"species"	"Migratory.mode"	"Social.system"
"Hippolais caligata"	"migrant"	"Pair"
"Hippolais pallida"	"migrant"	"Pair"
"Acrocephalus arundinaceus"	"migrant"	"Pair"
"Acrocephalus palustris"	"migrant"	"Pair"
"Acrocephalus scirpaceus"	"migrant"	"Pair"
"Ammomanes deserti"	"nonmigrant"	"Unknown"
"Lullula arborea"	"migrant"	"Pair"
"Galerida cristata"	"nonmigrant"	"Occasional"
"Alauda arvensis"	"migrant"	"Pair"
"Eremophila alpestris"	"migrant"	"Occasional"
"Melanocorypha leucoptera"	"migrant"	"Pair"
"Melanocorypha yeltoniensis"	"migrant"	"Pair"
"Melanocorypha calandra"	"nonmigrant"	"Occasional"
"Calandrella cinerea"	"migrant"	"Pair"
"Phylloscopus borealis"	"migrant"	"Pair"
"Phylloscopus trochiloides"	"migrant"	"Pair"
"Phylloscopus sibilatrix"	"migrant"	"Pair"
"Phylloscopus collybita"	"migrant"	"Pair"
"Phylloscopus trochilus"	"migrant"	"Occasional"
"Arachnothera longirostra"	"nonmigrant"	"Pair"
"Nectarinia afra"	"nonmigrant"	"Pair"
"Nectarinia chalybea"	"nonmigrant"	"Pair"
"Nectarinia violacea"	"nonmigrant"	"Pair"
"Nectarinia famosa"	"migrant"	"Pair"
"Nectarinia mariquensis"	"nonmigrant"	"Female only"
"Anthreptes collaris"	"nonmigrant"	"Pair"
"Nectarinia asiatica"	"nonmigrant"	"Pair"
"Nectarinia jugularis"	"nonmigrant"	"Pair"
"Nectarinia amethystina"	"nonmigrant"	"Female only"
"Nectarinia senegalensis"	"nonmigrant"	"Pair"
"Prunella collaris"	"nonmigrant"	"Cooperative"
"Prunella modularis"	"migrant"	"Cooperative"
"Prunella atrogularis"	"nonmigrant"	"Unknown"
"Prunella montanella"	"migrant"	"Unknown"
"Ploceus philippinus"	"nonmigrant"	"Female only"
"Ploceus megarhynchus"	"nonmigrant"	"Pair"
"Pytilia melba"	"nonmigrant"	"Pair"
"Cryptospiza reichenovii"	"nonmigrant"	"Pair"
"Clytospiza monteiri"	"nonmigrant"	"Pair"
"Lagonosticta rara"	"nonmigrant"	"Pair"
"Lagonosticta senegala"	"nonmigrant"	"Pair"
"Estrilda nonnula"	"nonmigrant"	"Pair"
"Lonchura spectabilis"	"nonmigrant"	"Pair"
"Lonchura punctulata"	"nonmigrant"	"Pair"
"Ramphocelus dimidiatus"	"nonmigrant"	"Unknown"
"Ramphocelus passerinii"	"nonmigrant"	"Pair"
"Ramphocelus carbo"	"nonmigrant"	"Pair"
"Eucometis penicillata"	"nonmigrant"	"Pair"
"Coereba flaveola"	"nonmigrant"	"Pair"
"Tiaris olivacea"	"nonmigrant"	"Pair"
"Tangara gyrola"	"nonmigrant"	"Pair"
"Tangara icterocephala"	"nonmigrant"	"Pair"
"Tangara larvata"	"nonmigrant"	"Cooperative"
"Thraupis episcopus"	"nonmigrant"	"Pair"
"Thraupis palmarum"	"migrant"	"Pair"
"Saltator maximus"	"nonmigrant"	"Pair"
"Cyanerpes cyaneus"	"nonmigrant"	"Pair"
"Tersina viridis"	"migrant"	"Pair"
"Cardinalis cardinalis"	"nonmigrant"	"Occasional"
"Pheucticus ludovicianus"	"migrant"	"Pair"
"Passerina cyanea"	"migrant"	"Pair"
"Passerina ciris"	"migrant"	"Pair"
"Passerina amoena"	"migrant"	"Pair"
"Spiza americana"	"migrant"	"Female only"
"Sporophila torqueola"	"nonmigrant"	"Pair"
"Sporophila nigricollis"	"migrant"	"Pair"
"Icterus cucullatus"	"migrant"	"Pair"
"Icterus gularis"	"nonmigrant"	"Pair"
"Icterus parisorum"	"migrant"	"Pair"
"Agelaius phoeniceus"	"nonmigrant"	"Pair"
"Agelaius tricolor"	"migrant"	"Pair"
"Euphagus cyanocephalus"	"migrant"	"Pair"
"Quiscalus major"	"nonmigrant"	"Female only"
"Quiscalus mexicanus"	"nonmigrant"	"Female only"
"Quiscalus quiscula"	"migrant"	"Pair"
"Dolichonyx oryzivorus"	"migrant"	"Cooperative"
"Sturnella magna"	"nonmigrant"	"Pair"
"Sturnella neglecta"	"migrant"	"Pair"
"Emberiza schoeniclus"	"migrant"	"Pair"
"Emberiza pusilla"	"migrant"	"Pair"
"Emberiza aureola"	"migrant"	"Pair"
"Emberiza rustica"	"migrant"	"Pair"
"Emberiza spodocephala"	"migrant"	"Pair"
"Emberiza cia"	"nonmigrant"	"Pair"
"Emberiza cioides"	"nonmigrant"	"Pair"
"Emberiza buchanani"	"migrant"	"Pair"
"Emberiza hortulana"	"migrant"	"Pair"
"Emberiza cirlus"	"nonmigrant"	"Pair"
"Emberiza citrinella"	"migrant"	"Pair"
"Emberiza stewarti"	"migrant"	"Unknown"
"Emberiza calandra"	"migrant"	"Cooperative"
"Emberiza fucata"	"migrant"	"Unknown"
"Calamospiza melanocorys"	"migrant"	"Cooperative"
"Spizella passerina"	"migrant"	"Unknown"
"Spizella pallida"	"migrant"	"Pair"
"Spizella pusilla"	"migrant"	"Pair"
"Pipilo erythrophthalmus"	"migrant"	"Pair"
"Pipilo fuscus"	"nonmigrant"	"Pair"
"Ammodramus bairdii"	"migrant"	"Pair"
"Pooecetes gramineus"	"migrant"	"Pair"
"Amphispiza belli"	"migrant"	"Pair"
"Ammodramus henslowii"	"migrant"	"Occasional"
"Ammodramus maritimus"	"nonmigrant"	"Pair"
"Junco hyemalis"	"migrant"	"Pair"
"Zonotrichia albicollis"	"migrant"	"Pair"
"Zonotrichia leucophrys"	"migrant"	"Pair"
"Zonotrichia querula"	"migrant"	"Pair"
"Ammodramus savannarum"	"migrant"	"Cooperative"
"Aimophila aestivalis"	"migrant"	"Pair"
"Arremonops conirostris"	"nonmigrant"	"Pair"
"Chlorospingus ophthalmicus"	"nonmigrant"	"Pair"
"Emberiza melanocephala"	"migrant"	"Female only"
"Seiurus aurocapillus"	"migrant"	"Cooperative"
"Myioborus miniatus"	"nonmigrant"	"Pair"
"Mniotilta varia"	"migrant"	"Pair"
"Seiurus motacilla"	"migrant"	"Pair"
"Seiurus noveboracensis"	"migrant"	"Pair"
"Limnothlypis swainsonii"	"migrant"	"Pair"
"Protonotaria citrea"	"migrant"	"Pair"
"Setophaga ruticilla"	"migrant"	"Pair"
"Dendroica cerulea"	"migrant"	"Pair"
"Parula americana"	"migrant"	"Pair"
"Dendroica petechia"	"migrant"	"Pair"
"Dendroica pensylvanica"	"migrant"	"Pair"
"Dendroica striata"	"migrant"	"Occasional"
"Dendroica palmarum"	"migrant"	"Pair"
"Dendroica coronata"	"migrant"	"Pair"
"Dendroica dominica"	"migrant"	"Pair"
"Dendroica pinus"	"migrant"	"Pair"
"Dendroica tigrina"	"migrant"	"Pair"
"Dendroica discolor"	"migrant"	"Occasional"
"Dendroica virens"	"migrant"	"Pair"
"Dendroica caerulescens"	"migrant"	"Pair"
"Dendroica fusca"	"migrant"	"Pair"
"Dendroica magnolia"	"migrant"	"Pair"
"Dendroica kirtlandii"	"migrant"	"Pair"
"Geothlypis trichas"	"migrant"	"Pair"
"Vermivora chrysoptera"	"migrant"	"Pair"
"Vermivora pinus"	"migrant"	"Occasional"
"Vermivora peregrina"	"migrant"	"Pair"
"Vermivora celata"	"migrant"	"Pair"
"Vermivora ruficapilla"	"migrant"	"Pair"
"Helmitheros vermivorus"	"migrant"	"Pair"
"Calcarius mccownii"	"migrant"	"Pair"
"Calcarius lapponicus"	"migrant"	"Pair"
"Plectrophenax nivalis"	"migrant"	"Pair"
"Euphonia luteicapilla"	"nonmigrant"	"Pair"
"Fringilla montifringilla"	"migrant"	"Pair"
"Carpodacus cassinii"	"migrant"	"Pair"
"Carpodacus purpureus"	"migrant"	"Pair"
"Coccothraustes coccothraustes"	"migrant"	"Pair"
"Leucosticte arctoa"	"nonmigrant"	"Pair"
"Pinicola enucleator"	"migrant"	"Pair"
"Pyrrhula pyrrhula"	"migrant"	"Pair"
"Carpodacus erythrinus"	"migrant"	"Occasional"
"Carpodacus mexicanus"	"nonmigrant"	"Pair"
"Carduelis chloris"	"migrant"	"Pair"
"Rhodopechys obsoleta"	"nonmigrant"	"Pair"
"Loxia curvirostra"	"nonmigrant"	"Occasional"
"Loxia leucoptera"	"nonmigrant"	"Pair"
"Carduelis carduelis"	"migrant"	"Pair"
"Serinus canaria"	"nonmigrant"	"Pair"
"Serinus pusillus"	"nonmigrant"	"Pair"
"Carduelis pinus"	"migrant"	"Pair"
"Carduelis spinus"	"migrant"	"Pair"
"Anthus pratensis"	"migrant"	"Occasional"
"Anthus spinoletta"	"migrant"	"Pair"
"Anthus hodgsoni"	"migrant"	"Pair"
"Anthus gustavi"	"migrant"	"Pair"
"Anthus trivialis"	"migrant"	"Occasional"
"Anthus novaeseelandiae"	"migrant"	"Pair"
"Anthus campestris"	"migrant"	"Pair"
"Motacilla cinerea"	"migrant"	"Occasional"
"Motacilla citreola"	"migrant"	"Pair"
"Motacilla aguimp"	"nonmigrant"	"Pair"
"Motacilla flava"	"migrant"	"Pair"
"Motacilla alba"	"migrant"	"Pair"
"Passer domesticus"	"nonmigrant"	"Cooperative"
"Passer hispaniolensis"	"migrant"	"Pair"
"Passer montanus"	"nonmigrant"	"Pair"
"Petronia petronia"	"migrant"	"Pair"
"Promerops cafer"	"nonmigrant"	"Pair"
"Acanthisitta chloris"	"nonmigrant"	"Cooperative"
